atlas_block,priority,state
44076A1CW,no,New York
42078D3NE,no,New York
43077B2CE,yes,New York
42078E3CW,no,New York
43077B2CW,no,New York
42078E3CE,yes,New York
41073F8CE,yes,New York
42077B3SW,no,New York
41073F8CW,no,New York
42077B3SE,no,New York
42074E7SE,no,New York
43074A8NE,no,New York
42077H7CE,yes,New York
43074A8NW,yes,New York
42074E7SW,no,New York
42073H3SE,no,New York
43076H2NW,yes,New York
43074E3NE,no,New York
42075C5NE,no,New York
41075H6NW,no,New York
43074E3NW,yes,New York
41075H6NE,no,New York
42075C5NW,yes,New York
42078F1SE,no,New York
41076H1NE,no,New York
41074C3CE,yes,New York
41074F8CE,yes,New York
43073B6CE,yes,New York
44074A4SE,no,New York
43073B6CW,no,New York
41074F8CW,no,New York
42077H7CW,no,New York
44074A4SW,no,New York
43074C8CW,no,New York
43076H2NE,no,New York
42078E3NW,yes,New York
43074A5SE,no,New York
42073F7CW,no,New York
42075F3NE,no,New York
43073D3SW,no,New York
43074C8CE,yes,New York
43074A5SW,no,New York
42073F7CE,yes,New York
43073D3SE,no,New York
43079B1SE,no,New York
41076H1NW,no,New York
42075D6SE,no,New York
41074C3CW,no,New York
43079A1SE,no,New York
42075D6SW,no,New York
42073B7NE,no,New York
43073F4SW,no,New York
42078C5NE,no,New York
43076C2CW,no,New York
42075C7SE,no,New York
43076C2CE,yes,New York
43074D8SE,no,New York
43074A7SW,no,New York
43074D8SW,no,New York
43074A7SE,no,New York
42077H3CE,yes,New York
43077B6CE,yes,New York
41074E2NE,no,New York
42077H3CW,no,New York
41074E2NW,yes,New York
43077B6CW,no,New York
43074G7CW,no,New York
42073H3NE,no,New York
44074B1NE,no,New York
42074E8NW,yes,New York
43073B8NE,no,New York
42073H3NW,yes,New York
43074G7CE,yes,New York
42074E8NE,no,New York
44074B1NW,yes,New York
43073B8NW,yes,New York
43076A5CW,no,New York
40073F1SW,no,New York
42073H6CE,yes,New York
43076A5CE,yes,New York
42073H6CW,no,New York
44074B6SE,no,New York
44074A4NW,yes,New York
43074B4CE,yes,New York
44074B6SW,no,New York
44074A4NE,no,New York
43074B4CW,no,New York
43075H2SE,no,New York
43076B1CE,yes,New York
43075H2SW,no,New York
43076B1CW,no,New York
43074A2SE,no,New York
43078B2CW,no,New York
43074D7NW,yes,New York
43074A2SW,no,New York
43074D7NE,no,New York
43078B2CE,yes,New York
42077D3CW,no,New York
43073E7SE,no,New York
42077D3CE,yes,New York
43073E7SW,no,New York
